tubelet_id,video_id,track_id,video_path,start_frame,end_frame,start_time_sec,end_time_sec,source_fps,effective_sample_fps,split,macro_speed_mean_mps,macro_speed_median_mps,macro_speed_p95_mps,macro_accel_p95_mps2,macro_straightness_ratio,macro_direction_change_mean_rad,macro_stationary_step_ratio,macro_score_raw,macro_score_smooth,macro_gate_hit
homography_macro__20260315_104219_tp00035.mp4__track49__t1008_1098__00001278,20260315_104219_tp00035.mp4,49,D:\Embeddings_Distribution\raw_videos\20260315_104219_tp00035.mp4,1008,1098,70.56004164655229,76.86004536499446,14.28570585387761,2.380950975646269,normal_test,0.9765496,1.0800389,1.6359246,1.789895,0.12190086,0.27658135,0.0,21.023307031978984,17.085923500722238,True
homography_macro__20260329_140358_tp00074.mp4__track697__t19728_19818__00017663,20260329_140358_tp00074.mp4,697,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,19728,19818,1380.9605500764476,1387.2605525859203,14.28570859530194,2.380951432550323,normal_test,0.0316882,0.014073228,0.089859046,0.24154389,0.12011729,0.83492434,0.6666667,0.9565867692896666,16.692309770153425,True
homography_macro__20260329_140358_tp00074.mp4__track697__t19776_19866__00017664,20260329_140358_tp00074.mp4,697,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,19776,19866,1384.320551414833,1390.6205539243058,14.28570859530194,2.380951432550323,normal_test,0.06566288,0.011518567,0.35307023,0.44013077,0.94374925,0.93196774,0.8,9.367188352742861,16.34227795967596,True
homography_macro__20260315_130536_tp00036.mp4__track2905__t17712_17874__00003002,20260315_130536_tp00036.mp4,2905,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,17712,17874,1239.8142691538974,1251.1540338107927,14.286010768441496,2.381001794740249,normal_test,0.10914165,0.027455384,0.5414459,1.5625514,0.707369,0.9615891,0.53333336,14.545564218881692,16.24368354229213,False
homography_macro__20260329_140358_tp00074.mp4__track635__t19200_19290__00017654,20260329_140358_tp00074.mp4,635,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,19200,19290,1344.000535354207,1350.3005378636797,14.28570859530194,2.380951432550323,normal_test,0.11411561,1.0898965e-15,0.66199124,2.0527048,0.49388462,1.0340581,0.84615386,20.43599354908085,16.2396803435011,False
homography_macro__20260317_101644_tp00048.mp4__track2363__t59808_59898__00009855,20260317_101644_tp00048.mp4,2363,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,59808,59898,4186.542066697233,4192.842039710923,14.2857754794239,2.3809625799039837,normal_test,0.47812614,0.24549076,1.4444635,3.0555916,0.59597033,1.4663795,0.13333334,17.7751905336018,16.22365809993746,False
homography_macro__20260315_130536_tp00036.mp4__track2055__t12672_12762__00002791,20260315_130536_tp00036.mp4,2055,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,12672,12762,887.0215909393737,893.3214601932045,14.286010768441496,2.381001794740249,normal_test,0.3088681,0.0784443,1.1043422,1.0319753,0.006712685,1.1216402,0.26666668,18.542131373178343,16.1186942255072,False
homography_macro__20260315_104219_tp00035.mp4__track2487__t29760_29850__00002271,20260315_104219_tp00035.mp4,2487,D:\Embeddings_Distribution\raw_videos\20260315_104219_tp00035.mp4,29760,29850,2083.201229564877,2089.5012332833194,14.28570585387761,2.380950975646269,normal_test,0.8184285,0.8755446,1.3279548,1.1015762,0.9451322,0.22642106,0.06666667,17.10802334250057,16.073693777658402,False
homography_macro__20260317_101644_tp00048.mp4__track371__t13392_13482__00009192,20260317_101644_tp00048.mp4,371,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,13392,13482,937.435984437021,943.7359574507108,14.2857754794239,2.3809625799039837,normal_test,0.902201,0.92524254,1.3380187,1.3337731,0.7538016,0.29543453,0.06666667,20.14788682210059,15.949064692236998,False
homography_macro__20260329_140358_tp00074.mp4__track635__t19248_19338__00017655,20260329_140358_tp00074.mp4,635,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,19248,19338,1347.3605366925924,1353.6605392020651,14.28570859530194,2.380951432550323,normal_test,0.536904,0.0047077034,2.956166,1.739249,0.5740287,0.9792816,0.64285713,57.864144934468925,15.886647113847499,False
homography_macro__20260316_124453_tp00043.mp4__track9508__t52224_52314__00007706,20260316_124453_tp00043.mp4,9508,D:\Embeddings_Distribution\raw_videos\20260316_124453_tp00043.mp4,52224,52314,3655.664196912372,3661.964169678191,14.2857760414945,2.3809626735824168,normal_test,0.6675917,0.31765944,2.0419288,3.4589818,0.9365354,0.3392587,0.46666667,16.738319323469767,15.814751275850506,False
homography_macro__20260315_130536_tp00036.mp4__track4431__t25824_25932__00003267,20260315_130536_tp00036.mp4,4431,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,25824,25932,1807.642484565845,1815.202327670442,14.286010768441496,2.381001794740249,normal_test,0.43309534,0.19185205,1.0124139,3.0645902,0.14432819,0.79765975,0.2,15.78131016751857,15.78131016751857,False
homography_macro__20260315_130536_tp00036.mp4__track7065__t43392_43482__00003600,20260315_130536_tp00036.mp4,7065,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,43392,43482,3037.376962913613,3043.676832167444,14.286010768441496,2.381001794740249,normal_test,0.5047052,0.1773022,1.4648107,2.460966,0.8958057,0.89836097,0.13333334,16.802427127663783,15.77098558163842,False
homography_macro__20260315_130536_tp00036.mp4__track6961__t43248_43338__00003595,20260315_130536_tp00036.mp4,6961,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,43248,43338,3027.297172107484,3033.5970413613145,14.286010768441496,2.381001794740249,normal_test,0.9916124,0.81201863,2.632218,4.0733275,0.5885845,1.1139408,0.2,20.079636499447492,15.770239696508682,False
homography_macro__20260315_130536_tp00036.mp4__track6961__t43296_43392__00003597,20260315_130536_tp00036.mp4,6961,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,43296,43392,3030.657102376193,3037.376962913613,14.286010768441496,2.381001794740249,normal_test,1.0147743,0.6239156,2.8687809,3.1243768,0.73717594,0.6208133,0.0,25.020765657742754,15.734265359642224,False
homography_macro__20260317_101644_tp00048.mp4__track918__t26112_26208__00009415,20260317_101644_tp00048.mp4,918,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,26112,26208,1827.832170371826,1834.552141586428,14.2857754794239,2.3809625799039837,normal_test,0.41986832,0.25601566,1.1520704,1.9978446,0.77054626,0.75673157,0.4,12.90968466688928,15.718005361169627,False
