===== GPU BOARD 2026-06-18 15:00:11 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:11.888, NVIDIA GeForce RTX 5090 Laptop GPU, 94 %, 14558 MiB, 24463 MiB, 54, 71.93 W
===== GPU BOARD 2026-06-18 15:00:13 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:13.948, NVIDIA GeForce RTX 5090 Laptop GPU, 95 %, 14558 MiB, 24463 MiB, 55, 72.86 W
===== GPU BOARD 2026-06-18 15:00:15 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:16.007, NVIDIA GeForce RTX 5090 Laptop GPU, 93 %, 14558 MiB, 24463 MiB, 55, 65.21 W
===== GPU BOARD 2026-06-18 15:00:18 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:18.074, NVIDIA GeForce RTX 5090 Laptop GPU, 89 %, 14558 MiB, 24463 MiB, 56, 41.09 W
===== GPU BOARD 2026-06-18 15:00:20 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:20.137, NVIDIA GeForce RTX 5090 Laptop GPU, 95 %, 14558 MiB, 24463 MiB, 55, 45.83 W
===== GPU BOARD 2026-06-18 15:00:22 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:22.208, NVIDIA GeForce RTX 5090 Laptop GPU, 95 %, 14558 MiB, 24463 MiB, 55, 51.10 W
===== GPU BOARD 2026-06-18 15:00:24 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:24.279, NVIDIA GeForce RTX 5090 Laptop GPU, 94 %, 14558 MiB, 24463 MiB, 55, 53.88 W
===== GPU BOARD 2026-06-18 15:00:26 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:26.340, NVIDIA GeForce RTX 5090 Laptop GPU, 96 %, 14558 MiB, 24463 MiB, 55, 51.55 W
===== GPU BOARD 2026-06-18 15:00:28 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:28.397, NVIDIA GeForce RTX 5090 Laptop GPU, 96 %, 14558 MiB, 24463 MiB, 55, 55.08 W
===== GPU BOARD 2026-06-18 15:00:30 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:30.455, NVIDIA GeForce RTX 5090 Laptop GPU, 95 %, 14558 MiB, 24463 MiB, 55, 62.33 W
===== GPU BOARD 2026-06-18 15:00:32 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:32.513, NVIDIA GeForce RTX 5090 Laptop GPU, 93 %, 14558 MiB, 24463 MiB, 56, 59.92 W
===== GPU BOARD 2026-06-18 15:00:34 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:34.572, NVIDIA GeForce RTX 5090 Laptop GPU, 95 %, 14558 MiB, 24463 MiB, 56, 59.38 W
===== GPU BOARD 2026-06-18 15:00:36 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:36.635, NVIDIA GeForce RTX 5090 Laptop GPU, 94 %, 14558 MiB, 24463 MiB, 57, 76.18 W
===== GPU BOARD 2026-06-18 15:00:38 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:38.693, NVIDIA GeForce RTX 5090 Laptop GPU, 92 %, 14558 MiB, 24463 MiB, 57, 64.80 W
===== GPU BOARD 2026-06-18 15:00:40 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:40.753, NVIDIA GeForce RTX 5090 Laptop GPU, 94 %, 14558 MiB, 24463 MiB, 57, 63.55 W
===== GPU BOARD 2026-06-18 15:00:42 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:42.810, NVIDIA GeForce RTX 5090 Laptop GPU, 97 %, 14558 MiB, 24463 MiB, 56, 64.21 W
===== GPU BOARD 2026-06-18 15:00:44 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:44.869, NVIDIA GeForce RTX 5090 Laptop GPU, 95 %, 14558 MiB, 24463 MiB, 57, 63.65 W
===== GPU BOARD 2026-06-18 15:00:46 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:46.930, NVIDIA GeForce RTX 5090 Laptop GPU, 96 %, 14558 MiB, 24463 MiB, 57, 63.76 W
===== GPU BOARD 2026-06-18 15:00:48 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
