tubelet_id,video_id,track_id,start_time_sec,end_time_sec,pose_score,pose_score_smooth,pose_hit_raw,pose_hit_smooth,pose_persistent_hit,pose_valid_frame_ratio,pose_mean_keypoint_conf,pose_valid_keypoint_ratio_mean,pose_wrist_speed_p95,pose_ankle_speed_p95,pose_limb_speed_p95,pose_limb_accel_p95,pose_body_angle_change_p95,pose_crouch_change_p95,pose_arm_extension_change_p95,pose_asymmetry_motion_p95
pose__20260316_113834_tp00042.mp4__track1753__t9630_9699__00011762,20260316_113834_tp00042.mp4,1753,674.0934922765658,678.9234456480178,82.03194409663718,31.70879936637024,True,False,False,1.0,0.760564386844635,0.3799019753932953,0.4348791539669037,0.0,0.5810998678207397,1.1458700895309448,0.0,0.0,2.8675100803375244,0.23161113262176514
pose__20260315_104219_tp00035.mp4__track1417__t18846_18915__00004578,20260315_104219_tp00035.mp4,1417,1319.22077864179,1324.0507814925957,81.42010210353972,44.64392347855207,True,False,False,0.875,0.7477717399597168,0.47058823704719543,0.5970363020896912,0.0,1.4173133373260498,5.574421405792236,2.6962130069732666,0.7793357372283936,0.35270828008651733,1.0029407739639282
pose__20260316_113834_tp00042.mp4__track1753__t9540_9609__00011746,20260316_113834_tp00042.mp4,1753,667.793553096411,672.623506467863,79.92231552510214,54.53574416846943,True,False,False,0.875,0.7429611682891846,0.44607841968536377,0.5213220119476318,0.0,0.517142653465271,8.228231430053711,1.4645386934280396,0.07068410515785217,1.6056287288665771,0.20952682197093964
pose__20260315_130536_tp00036.mp4__track215__t2466_2535__00005769,20260315_130536_tp00036.mp4,215,172.61641755496336,177.44631731623363,78.98331980729624,35.649615792343994,True,False,False,1.0,0.8507413864135742,0.7573529481887817,0.9188413023948669,0.46756401658058167,0.6749873757362366,3.9375526905059814,0.8388359546661377,0.06525161117315292,0.7373422384262085,0.3541719913482666
pose__20260315_130536_tp00036.mp4__track4004__t25128_25197__00007738,20260315_130536_tp00036.mp4,4004,1758.9234956695536,1763.753395430824,77.94159286016787,63.24207505138001,True,True,True,1.0,0.7562469244003296,0.5833333134651184,4.904537200927734,0.0,4.122815132141113,20.507732391357422,0.3130291998386383,0.20883871614933014,0.6765048503875732,1.034902572631836
pose__20260315_130536_tp00036.mp4__track4004__t24948_25017__00007733,20260315_130536_tp00036.mp4,4004,1746.323757161892,1751.1536569231623,76.63287853981929,76.24968658650496,True,True,False,1.0,0.7268524169921875,0.5759803652763367,4.383788585662842,0.0,4.557592391967773,21.75568389892578,0.5044509768486023,0.2620964050292969,0.45015400648117065,0.23830488324165344
pose__20260316_113834_tp00042.mp4__track2327__t11466_11535__00012091,20260316_113834_tp00042.mp4,2327,802.6122515517242,807.4422049231762,75.49899544942843,34.016183998408245,True,False,False,0.9583333134651184,0.8282251358032227,0.4632352888584137,0.3372729420661926,0.0,0.3775980472564697,1.4677373170852661,0.0,0.0,0.10606780648231506,0.0
pose__20260316_113834_tp00042.mp4__track5__t72_141__00011179,20260316_113834_tp00042.mp4,5,5.039951344123857,9.869904715575888,75.1745243576018,254.267343373219,True,True,True,0.0416666679084301,0.5191003680229187,0.036764707416296005,0.0,0.0,0.8332303166389465,0.0,0.0,0.0,0.0,0.0
pose__20260316_113834_tp00042.mp4__track5__t396_465__00011210,20260316_113834_tp00042.mp4,5,27.71973239268121,32.54968576413324,75.0289151414333,78.01593295839376,True,True,True,0.5833333134651184,0.8002553582191467,0.25735294818878174,0.6102502346038818,0.0,1.4347344636917114,7.545394420623779,0.37212997674942017,0.3741307556629181,0.30819833278656006,0.0
pose__20260315_104219_tp00035.mp4__track1325__t14238_14307__00003998,20260315_104219_tp00035.mp4,1325,996.660588257551,1001.4905911083569,73.51242376145488,39.16096551666181,True,False,False,0.9166666865348816,0.7308188676834106,0.3946078419685364,1.4435642957687378,0.0,1.9841386079788208,7.290783405303955,0.0,0.0,0.28682079911231995,2.210822343826294
